                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     36,                 1.3323,                0.71663,                 0.8996,                0.89784,                 0.7203,                0.77676,                0.54995,                 1.2309,                0.69078,                0.89402,                0.00769,                0.00769,                0.00769
                     37,                 1.3202,                0.70519,                0.89642,                0.83854,                0.72265,                0.75241,                0.51849,                 1.2164,                0.67677,                0.89084,               0.007624,               0.007624,               0.007624
                     38,                 1.2882,                0.69359,                0.89444,                0.89633,                0.70684,                0.75542,                0.52633,                 1.2472,                0.68789,                 0.8953,               0.007558,               0.007558,               0.007558
                     39,                 1.3246,                0.70708,                 0.8949,                0.90427,                0.68332,                0.75907,                0.50025,                 1.2181,                0.68122,                0.89196,               0.007492,               0.007492,               0.007492
                     40,                 1.3059,                0.69626,                0.89289,                0.87461,                0.74314,                0.76953,                0.54636,                 1.2062,                0.68274,                0.88809,               0.007426,               0.007426,               0.007426
                     41,                 1.3082,                0.69794,                0.89573,                0.91748,                0.70235,                0.76456,                0.52526,                  1.208,                0.67392,                0.88953,                0.00736,                0.00736,                0.00736
                     42,                 1.2793,                 0.6896,                  0.894,                0.92666,                0.69766,                0.77436,                0.54241,                 1.2078,                0.66972,                0.89056,               0.007294,               0.007294,               0.007294
                     43,                 1.2976,                 0.6885,                0.88822,                 0.8965,                0.71132,                0.76161,                0.56185,                 1.2025,                0.66632,                0.88536,               0.007228,               0.007228,               0.007228
                     44,                 1.2866,                0.68035,                0.89054,                0.92995,                0.73111,                0.78116,                0.56263,                 1.1937,                0.65938,                0.88778,               0.007162,               0.007162,               0.007162
                     45,                 1.2685,                 0.6847,                0.89043,                0.91416,                0.73822,                0.78388,                0.56196,                 1.1972,                0.65713,                0.88635,               0.007096,               0.007096,               0.007096
                     46,                 1.2878,                0.68681,                0.88532,                 0.9203,                 0.7281,                0.77221,                0.55731,                 1.1976,                0.66676,                 0.8901,                0.00703,                0.00703,                0.00703
                     47,                 1.2435,                 0.6692,                0.88748,                 0.9309,                0.73853,                0.78289,                0.57422,                 1.1999,                0.66059,                0.88692,               0.006964,               0.006964,               0.006964
                     48,                 1.2672,                 0.6668,                0.88373,                0.92254,                0.72423,                0.78297,                0.57121,                 1.1911,                0.65205,                0.88391,               0.006898,               0.006898,               0.006898
                     49,                 1.2634,                0.66674,                0.88339,                0.92835,                0.73048,                0.78401,                0.56694,                 1.2041,                  0.661,                0.88835,               0.006832,               0.006832,               0.006832
                     50,                 1.2614,                0.66456,                0.88484,                0.94002,                0.72222,                0.78407,                0.55609,                 1.1789,                0.65253,                0.88223,               0.006766,               0.006766,               0.006766
                     51,                 1.2213,                0.65457,                0.87898,                0.93269,                0.70154,                0.78654,                0.57736,                  1.161,                0.64357,                0.88231,                 0.0067,                 0.0067,                 0.0067
                     52,                 1.2468,                0.65879,                0.88007,                0.93159,                0.73594,                 0.7781,                0.57877,                  1.192,                0.64852,                0.88644,               0.006634,               0.006634,               0.006634
                     53,                 1.2331,                0.65552,                0.88103,                0.91847,                0.70852,                0.78248,                0.58311,                 1.1869,                0.65246,                0.88624,               0.006568,               0.006568,               0.006568
                     54,                 1.2125,                0.64462,                0.88254,                0.92633,                0.74528,                0.78968,                0.58458,                 1.1636,                0.64099,                0.88126,               0.006502,               0.006502,               0.006502
                     55,                 1.2282,                0.65443,                0.87988,                0.92966,                0.72751,                0.78939,                0.58781,                 1.1506,                0.63376,                0.87927,               0.006436,               0.006436,               0.006436
                     56,                 1.2132,                0.64711,                0.87608,                 0.9256,                0.73128,                0.78265,                0.59359,                 1.1678,                0.63536,                0.88071,                0.00637,                0.00637,                0.00637
                     57,                  1.198,                0.63576,                 0.8771,                0.92252,                0.75104,                0.79303,                  0.591,                 1.1617,                0.63522,                0.87967,               0.006304,               0.006304,               0.006304
                     58,                 1.2176,                0.64144,                0.87436,                0.91501,                0.71094,                 0.7867,                 0.5681,                 1.1579,                0.63844,                0.88144,               0.006238,               0.006238,               0.006238
                     59,                 1.2087,                0.63746,                0.87657,                0.91025,                0.73801,                0.78098,                0.58398,                 1.1678,                0.63482,                0.87917,               0.006172,               0.006172,               0.006172
                     60,                 1.1836,                0.62926,                0.87219,                0.92635,                0.73557,                0.79149,                0.58679,                 1.1577,                 0.6272,                0.88022,               0.006106,               0.006106,               0.006106
                     61,                 1.1902,                0.63028,                 0.8727,                0.93277,                0.71386,                0.80852,                0.58701,                 1.1503,                0.62458,                0.87921,                0.00604,                0.00604,                0.00604
                     62,                 1.1733,                0.62611,                0.87475,                0.92784,                0.75127,                0.79728,                0.59164,                 1.1365,                0.62128,                0.87574,               0.005974,               0.005974,               0.005974
